algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
adaptdroid_0,intersection,standard,w2v,39.0,58.0,68.0,76.0,79.0,0.519662938524933,1.7954130172729492,-1.0
adaptdroid_0,craftdroid,standard,w2v,36.0,52.0,63.0,70.0,76.0,0.4848450294264057,1.826653003692627,-1.0
adaptdroid_0,atm,standard,w2v,41.0,60.0,71.0,76.0,79.0,0.5306297875849548,1.8062677383422852,-1.0
craftdroid,union,googleplay,w2v,28.0,51.0,66.0,77.0,88.0,0.4675923912992882,2.058621883392334,-1.0
craftdroid,intersection,googleplay,w2v,36.0,56.0,70.0,82.0,90.0,0.517360400367782,2.046505928039551,-1.0
craftdroid,craftdroid,googleplay,w2v,28.0,49.0,67.0,77.0,88.0,0.46716135681652954,2.0439717769622803,-1.0
craftdroid,atm,googleplay,w2v,39.0,58.0,71.0,82.0,90.0,0.529552518594383,2.044865131378174,-1.0
custom,union,googleplay,w2v,50.0,77.0,85.0,98.0,104.0,0.6267281808230084,1.8122632503509521,-1.0
custom,intersection,googleplay,w2v,40.0,65.0,80.0,90.0,95.0,0.562835702476024,1.7992327213287354,-1.0
custom,craftdroid,googleplay,w2v,48.0,71.0,84.0,94.0,102.0,0.6128265085388497,1.8019657135009766,-1.0
custom,atm,googleplay,w2v,41.0,68.0,87.0,96.0,101.0,0.5762332194007805,1.8039159774780273,-1.0
atm_0,union,googleplay,w2v,29.0,59.0,68.0,83.0,90.0,0.4972743624233504,1.8132269382476807,-1.0
atm_0,intersection,googleplay,w2v,34.0,60.0,74.0,85.0,92.0,0.5226546491775939,1.8085811138153076,-1.0
atm_0,craftdroid,googleplay,w2v,25.0,54.0,67.0,83.0,89.0,0.4735769586416138,1.8220877647399902,-1.0
atm_0,atm,googleplay,w2v,41.0,69.0,76.0,88.0,92.0,0.5638760475620918,1.8095741271972656,-1.0
adaptdroid_0,union,googleplay,w2v,31.0,48.0,64.0,72.0,81.0,0.46089615741718876,1.8021659851074219,-1.0
adaptdroid_0,intersection,googleplay,w2v,32.0,48.0,63.0,70.0,72.0,0.46329358613802424,1.8101279735565186,-1.0
adaptdroid_0,craftdroid,googleplay,w2v,31.0,47.0,63.0,72.0,83.0,0.4620246097626796,1.812087059020996,-1.0
adaptdroid_0,atm,googleplay,w2v,33.0,49.0,65.0,73.0,78.0,0.4732658202296746,1.794025182723999,-1.0
craftdroid,union,standard,nnlm,31.0,54.0,66.0,78.0,81.0,0.47291597984088923,2.063847303390503,-1.0
craftdroid,intersection,standard,nnlm,33.0,55.0,67.0,78.0,81.0,0.4887130992385955,2.0451719760894775,-1.0
