algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
adaptdroid_0,craftdroid,android,w2v,112.0,145.0,162.0,169.0,183.0,0.6597980831523622,3.5337138175964355,-1.0
adaptdroid_0,atm,android,w2v,127.0,158.0,171.0,174.0,184.0,0.7095742841373424,3.371356964111328,-1.0
craftdroid,union,blogs,w2v,140.0,187.0,204.0,206.0,210.0,0.7859696364807391,3.8234639167785645,-1.0
craftdroid,intersection,blogs,w2v,143.0,192.0,208.0,212.0,215.0,0.8132107774076099,3.7903287410736084,-1.0
craftdroid,craftdroid,blogs,w2v,132.0,185.0,204.0,205.0,209.0,0.7743306219005482,3.8261187076568604,-1.0
craftdroid,atm,blogs,w2v,150.0,196.0,209.0,213.0,215.0,0.8288467753965492,3.808359146118164,-1.0
custom,union,blogs,w2v,139.0,188.0,203.0,212.0,213.0,0.7854195096842157,3.4145872592926025,-1.0
custom,intersection,blogs,w2v,143.0,197.0,208.0,212.0,216.0,0.8194709293974,3.37764310836792,-1.0
custom,craftdroid,blogs,w2v,127.0,194.0,203.0,210.0,214.0,0.7767076333252801,3.365339994430542,-1.0
custom,atm,blogs,w2v,154.0,201.0,211.0,212.0,216.0,0.835823367808662,3.3498189449310303,-1.0
atm_0,union,blogs,w2v,102.0,147.0,183.0,196.0,201.0,0.6666699239895943,3.3913841247558594,-1.0
atm_0,intersection,blogs,w2v,132.0,194.0,205.0,209.0,214.0,0.7889791207393526,3.342343807220459,-1.0
atm_0,craftdroid,blogs,w2v,113.0,159.0,185.0,192.0,201.0,0.7026653713305299,3.361025810241699,-1.0
atm_0,atm,blogs,w2v,130.0,193.0,205.0,211.0,213.0,0.7764090071177765,3.3630406856536865,-1.0
adaptdroid_0,union,blogs,w2v,121.0,160.0,172.0,183.0,191.0,0.703158608702546,3.385402202606201,-1.0
adaptdroid_0,intersection,blogs,w2v,131.0,167.0,178.0,185.0,190.0,0.7373026588296253,3.3661980628967285,-1.0
adaptdroid_0,craftdroid,blogs,w2v,120.0,159.0,172.0,181.0,190.0,0.7001843987756602,3.394824743270874,-1.0
adaptdroid_0,atm,blogs,w2v,134.0,167.0,179.0,185.0,190.0,0.743269896668107,3.361151933670044,-1.0
craftdroid,union,standard,w2v,144.0,189.0,199.0,204.0,210.0,0.7945186851861057,3.81113600730896,-1.0
