algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,intersection,googleplay,fast,180,261,293,304,311,0.727342443,49.29501987,208
atm,atm,empty,edit_distance,180,262,283,302,311,0.724195261,69.03921199,50208
custom,intersection,empty,edit_distance,180,258,286,299,307,0.722191016,45.59265351,43501
custom,intersection,blogs,fast,180,259,280,291,301,0.719461657,50.8813448,122
custom,union,blogs,glove,180,260,289,305,315,0.715058713,90.91376734,74499
craftdroid,atm,android,glove,180,257,280,293,301,0.713065646,31.15183043,13871
craftdroid,intersection,blogs,glove,180,253,275,292,302,0.712780967,38.6807158,5916
custom,union,blogs,w2v,180,254,282,306,311,0.707653975,112.2687831,28720
craftdroid,atm,standard,w2v,180,252,271,288,302,0.707339707,45.63856649,5747
craftdroid,atm,blogs,w2v,180,251,271,283,295,0.703462168,42.67406511,1888
craftdroid,intersection,standard,nnlm,180,249,269,285,295,0.703147457,638.731075,762
adaptdroid,union,standard,wm,180,224,240,260,274,0.66410797,77.1022558,0
atm,intersection,android,wm,179,266,287,303,310,0.726708901,17.84076524,13179
atm,intersection,standard,glove,179,256,283,299,307,0.721192947,51.60853553,19829
custom,union,android,w2v,179,267,293,308,315,0.716882015,115.2904589,47137
craftdroid,intersection,googleplay,fast,179,256,280,295,303,0.715795621,40.54186702,46
craftdroid,intersection,standard,glove,179,253,271,288,297,0.708067001,37.14639854,6682
craftdroid,union,blogs,glove,179,247,270,281,294,0.693646969,85.15557361,21597
adaptdroid,atm,standard,fast,179,236,256,275,283,0.68664455,14.9658608,3558
adaptdroid,intersection,standard,wm,179,223,244,268,274,0.66581957,15.692873,192
custom,craftdroid,empty,jaccard,178,260,291,305,310,0.732008301,47.90162587,549
craftdroid,intersection,standard,fast,178,247,272,293,301,0.706358998,37.85251808,2127
adaptdroid,atm,standard,wm,178,225,242,269,275,0.66542683,16.5386307,192
adaptdroid,craftdroid,standard,wm,178,227,246,265,278,0.66541001,37.9138544,0
adaptdroid,atm,standard,nnlm,178,220,237,252,263,0.65772115,288.514883,983
adaptdroid,intersection,standard,nnlm,178,220,231,249,262,0.65531943,288.431368,1011
custom,intersection,standard,glove,177,257,282,301,308,0.716220326,57.54352784,19545
adaptdroid,atm,standard,w2v,177,229,252,265,271,0.67331223,13.8845015,11480
atm,intersection,standard,w2v,176,259,285,299,310,0.719731927,48.88094568,18346
atm,intersection,standard,fast,176,260,286,297,305,0.719464024,59.75304365,5313
custom,craftdroid,standard,glove,176,256,288,302,309,0.714800987,78.29331803,75272
craftdroid,atm,android,w2v,176,262,278,294,303,0.710349081,45.79832268,3858
custom,intersection,googleplay,glove,176,253,275,292,302,0.708404096,51.77225089,15362
craftdroid,atm,blogs,fast,176,250,275,289,298,0.696524909,35.12089372,25
craftdroid,union,googleplay,wm,176,252,269,289,302,0.696137379,21.8159399,55
craftdroid,atm,standard,bert,176,248,273,284,291,0.689822069,1458.144458,0
custom,craftdroid,standard,w2v,175,265,286,299,311,0.718624775,87.62179661,68570
custom,craftdroid,android,glove,175,262,287,299,311,0.718520569,89.13569069,140838
custom,craftdroid,blogs,glove,175,262,290,301,309,0.718125412,92.30921745,68987
atm,atm,googleplay,glove,175,258,285,300,314,0.711757581,69.35180926,16628
craftdroid,intersection,android,wm,175,265,278,294,303,0.710424392,13.29498506,292
atm,atm,googleplay,w2v,175,258,280,300,305,0.70835577,86.13501191,1617
craftdroid,atm,googleplay,glove,175,254,271,289,296,0.699433463,42.64492345,4664
custom,craftdroid,standard,bert,175,243,280,299,313,0.693606925,1407.370214,0
adaptdroid,intersection,standard,fast,175,235,254,274,282,0.68071761,14.2163479,3114
adaptdroid,intersection,standard,w2v,175,228,249,266,272,0.67085695,13.202909,10102
adaptdroid,atm,blogs,wm,175,223,244,262,267,0.6584798,16.5788968,183
craftdroid,intersection,android,fast,174,251,276,288,303,0.704409921,42.77451158,0
craftdroid,intersection,android,glove,174,252,276,293,301,0.704142736,40.2437377,13723
craftdroid,union,googleplay,w2v,174,241,269,283,300,0.686948618,76.21710134,7308
custom,intersection,android,w2v,173,262,287,301,311,0.715307536,70.83705091,15055
